address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_est_value	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures
7175 Kylemore Ct	Dublin	CA	94568	08/30/2019	6132.0	Residential - Vacant Land				4239.0			1350000.0	1100100638	Alameda County, CA	986 005501700	69284.0	0.0	69284.0	998 (1.44 %)	3	33	18	70	4
3695 Stevenson Blvd # C331	Fremont	CA	94538	08/30/2019	2135.0	Condominium	1.0	1.0	721.0		1991		470000.0	1100085064	Alameda County, CA	525 165116100	103296.0	241024.0	344320.0	4432 (1.28 %)	3	59	40	103	4
2646 Benedict Dr	San Leandro	CA	94577	08/30/2019	3634.0	Single Family Residence	3.0	2.0	1637.0	6600.0	1958		800000.0	1100086345	Alameda County, CA	079 001901100	126487.0	295137.0	421624.0	5651 (1.34 %)	3	123	79	226	4
5353 Sayre Ave	Fremont	CA	94536	08/30/2019	5201.0	Single Family Residence	4.0	2.0	1811.0	7500.0	1960		1145000.0	1100083302	Alameda County, CA	501 081812000	414220.0	673107.0	1087327.0	13169 (1.21 %)	3	59	40	103	4
4497 Alexander Valley Way	Dublin	CA	94568	08/30/2019	6496.0	Single Family Residence	4.0	4.0	3627.0	4750.0	2018		1430000.0	1100091245	Alameda County, CA	986 005106800	607100.0	0.0	607100.0	7760 (1.27 %)	3	33	18	70	4
1562 78th Ave	Oakland	CA	94621	08/30/2019	2203.0	Single Family Residence	2.0	1.0	781.0	3500.0	1923		485000.0	1100070081	Alameda County, CA	040 335902100	43131.0	19321.0	62452.0	1950 (3.12 %)	3	308	307	310	4
3645 Congress Ct	Fremont	CA	94538	08/30/2019	4656.0	Single Family Residence	3.0	2.0	1151.0	7150.0	1958		1025000.0	1100097471	Alameda County, CA	525 163402900	19222.0	43338.0	62560.0	1245 (1.99 %)	0	59	40	103	0
4391 Briar Cliff Rd	Oakland	CA	94605	08/30/2019	1522.0	Residential - Vacant Land				17004.0			335000.0	1100078003	Alameda County, CA	048 683700301	84197.0	0.0	84197.0	1990 (2.36 %)	0	308	307	310	0
1789 Orchard Way	Pleasanton	CA	94566	08/30/2019	5224.0	Single Family Residence	4.0	2.0	2167.0	7500.0	1966		1150000.0	1100097472	Alameda County, CA	946 333703200	19646.0	70560.0	90206.0	1049 (1.16 %)	0	33	19	65	0
4967 Bosworth Ct	Newark	CA	94560	08/30/2019	3598.0	Single Family Residence	3.0	1.0	1008.0	8240.0	1970		792000.0	1100095672	Alameda County, CA	092A072607500	80969.0	193034.0	274003.0	3676 (1.34 %)	0	86	56	155	0
6337 Valley View Rd	Oakland	CA	94611	08/30/2019	4769.0	Single Family Residence	2.0	2.0	1340.0	11011.0	1977		1050000.0	1100102459	Alameda County, CA	048G743501600	191618.0	447109.0	638727.0	9906 (1.55 %)	3	308	307	310	4
3930 Aqua Vista St	Oakland	CA	94601	08/30/2019	3416.0	Single Family Residence	3.0	1.0	1123.0	4000.0	1914		752000.0	1100103337	Alameda County, CA	032 210503200	107179.0	250085.0	357264.0	5942 (1.66 %)	3	308	307	310	4
14895 Washington Ave	San Leandro	CA	94578	08/30/2019	3125.0	Single Family Residence	3.0	1.5	1078.0	5700.0	1954		688000.0	1100098088	Alameda County, CA	077B112301700	33378.0	33590.0	66968.0	1287 (1.92 %)	3	123	79	226	4
